10/05/18	hashtag1	23
10/05/18	hashtag2	2
10/05/18	hashtag3	110
10/05/18	hashtag4	5
11/05/18	hashtag1	23
11/05/18	hashtag2	2
11/05/18	hashtag3	110
11/05/18	hashtag4	5
12/05/18	hashtag1	23
12/05/18	hashtag2	2
12/05/18	hashtag3	110
12/05/18	hashtag4	5
13/05/18	hashtag1	23
13/05/18	hashtag2	2
13/05/18	hashtag3	110
13/05/18	hashtag4	5
14/05/18	hashtag1	23
14/05/18	hashtag2	2
14/05/18	hashtag3	110
14/05/18	hashtag4	5
15/05/18	hashtag1	23
15/05/18	hashtag2	2
15/05/18	hashtag3	110
15/05/18	hashtag4	5
16/05/18	hashtag1	23
16/05/18	hashtag2	2
16/05/18	hashtag3	110
16/05/18	hashtag4	5
17/05/18	hashtag1	23
17/05/18	hashtag2	2
17/05/18	hashtag3	110
17/05/18	hashtag4	5
